"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000172183","1.0","0000026169","GSS","Required for the gender and sexuality studies major and concentration, this course introduces students to the concept of gender as a category of analysis. It is designed for students who seek a fuller understanding of themselves as gendered individuals living in a gendered society - all genders are encouraged to participate! Offered each semester.","4","0","2","0","2","","Malaver, Lau M.","{'fsnum': '35077', 'name': 'Malaver, Lau M.'}","100","12","","","","Intro Gender/Sexuality St","","121","","False","False","","4","O","20254","Introduction to Gender and Sexuality Studies","Research","2025"
"0000174310","1.0","0000037258","ID","","0","0","0","0","0","","Peterson, Ericka K.","{'fsnum': '30116', 'name': 'Peterson, Ericka K.'}","0","","","","","Placeholder Test Course","","3","","False","","","4","X","20254","","Research","2025"
"0000172255","0.25","0000001017","KINES","Students learn the principles of training, basic techniques, and safety procedures. Students develop and implement a personal training plan during the course.","7","1","1","1","4","ACB;PHA;SPM","Graf, Julie D.","{'fsnum': '28228', 'name': 'Graf, Julie D.'}","100","10","","","","Wt Training","Weight lifting course for men and women.                                        ;Virtual online course. Students will have weekly video check-ins with           ;instructor.","141","","False","False","","4","O","20254","Weight Training Men","Research","2025"
"0000171926","1.0","0000033751","KINES","This course introduces students to the study of physiological and functional adaptations to human movement. The field is richly interdisciplinary, involving such disciplines as anatomy, chemistry, biology, physics, physiology, biomechanics, motor control, psychology, nutrition, neuroscience, rehabilitative therapy, and exercise prescription. Rigorous and systematic study of these sub-fields enables students to understand how and why people move and the factors which limit and enhance the capacity to move. Offered annually.","2","1","0","1","0","","Yerhot, Paul","{'fsnum': '9005180', 'name': 'Yerhot, Paul'}","100","10","","0","0","Introduction to Kinesiology","This course is open only to first-year students and sophomores or with          ;instructor consent.","195","","False","False","","4","O","20254","","Research","2025"
"0000171898","1.0","0000000711","LATIN","In this two-course sequence students learn the basics of classical Latin. By studying the language's vocabulary, grammar, and syntax, they not only gain appreciation for its intricacies and nuances but also learn more about their own language and about language in general. Completion of both LATIN 111 and LATIN 112 equips students to translate almost any classical Latin text with the aid of a dictionary. Offered annually in the fall semester.","0","0","0","0","0","","Helms, Kyle","{'fsnum': '30106', 'name': 'Helms, Kyle'}","100","15","","","","Beginning Latin I","","111","{'day': 'Mo', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'}","False","False","","4","X","20254","","Research","2025"
"0000172015","1.0","0000000738","MATH","This course extends important ideas of single-variable calculus (derivatives, integrals, graphs, approximation, optimization, fundamental theorems, etc.) to higher-dimensional settings. These extensions make calculus tools far more powerful in modeling the (multi-dimensional) real world. Topics include partial derivatives, multiple integrals, transformations, Jacobians, line and surface integrals, and the fundamental theorems of Green, Stokes, and Gauss. Offered each semester. Prerequisites: MATH 126 or MATH 128, and MATH 220.","0","0","0","0","0","","Salois, Kyle","{'fsnum': '9005160', 'name': 'Salois, Kyle'}","200","28","","","","Multivariable Calc","","226","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 206', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 206', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 206', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 206', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 206', 'start': '10:00'}","False","Prerequisites: MATH 126 or MATH 128, and MATH 220.","","4","X","20254","Multivariable Calculus","Research","2025"
"0000172197","1.0","0000028971","MUSIC","This course examines how race influences 20th century music. Students study a representative body of music from both popular and art music traditions, learn the basic elements of music and critical listening skills. Offered periodically during January term. Does not count toward B.A. music major or any B.M. music major.","0","0","0","0","0","ALS-A;CRE;ORC;PAR","Carter, David","{'fsnum': '973', 'name': 'Carter, David'}","100","20","","","","Race in 20th Century Music","","135","","False","False","","4","X","20254","","Research","2025"
"0000172016","1.0","0000000939","NURS","This course explores the sources, chemical composition, and metabolic behavior of nutrients. Nutritional requirements for a balanced diet are examined as well as the consequences of excesses and deficiencies. Students use nutrition tools and guidelines to make sound food choices, learn how to read food labels, and consider factors affecting food consumption. Class activities increase students' awareness of a healthy diet, help students evaluate nutrition behaviors, and facilitate a nutritionally sound lifestyle. Offered annually. Does not count toward major, but is a prerequisite for the nursing major.","16","2","5","3","6","IST;NST;NTS","Huehn, Susan","{'fsnum': '17526', 'name': 'Huehn, Susan'}","100","30","","","","Nutrition and Wellness","","110","","False","False","","4","O","20254","","Research","2025"
"0000171927","1.0","0000027679","PHIL","This course analyzes issues concerning race and social justice from the perspective of normative ethical frameworks and various theories of value. Students investigate, interpret, and critique both intellectual foundations and reasons for endorsement of the various approaches to study in grace and social justice. Students pay critical attention to how the Black intellectual tradition understands the meanings and moral implications of such ideas. Offered annually.","6","1","1","2","2","EIN;ERC;PAR","Yokum, Nicole","{'fsnum': '35097', 'name': 'Yokum, Nicole'}","200","25","","","","Race and Social Justice","","255","","False","False","","4","O","20254","","Research","2025"
"0000171631","1.0","0000001072","PHYS","This two-semester in-depth course addresses topics in classical and modern physics using algebra, geometry, and some calculus. The course is well suited for students of biology or chemistry or for those desiring a thorough introduction beyond the high school level. Physics 124 takes up the Newtonian mechanics of point particles (motion, mass, force, torque, energy, momentum, and gravitation), Einstein's reexamination of space time (relativity), and nuclear physics. Students attend lectures plus one 2.5-hour laboratory per week. Offered annually in the fall semester. Does not count toward physics major. Prerequisite: MATH 119 or MATH 120 or equivalent.","18","3","7","6","2","NSC;NSL","Hazlett, Eric L.","{'fsnum': '31195', 'name': 'Hazlett, Eric L.'}","100","18","","","","Principles Physics I","","124","","False","MATH 119 or MATH 120 or equivalent.","","4","C","20254","Principles of Physics I","Research","2025"
"0000171632","","0000001073","PHYS","","18","3","7","6","2","","Hazlett, Eric L.","{'fsnum': '31195', 'name': 'Hazlett, Eric L.'}","100","18","","","","Principles Physics I Lab","","124","","False","","","4","C","20254","","Lab","2025"
"0000171928","1.0","0000001176","PSYCH","Why are certain experiences or patterns of behavior considered psychologically ""abnormal?"" Students investigate a wide array of psychological disorders, including anxiety disorders, depression, eating disorders, and schizophrenia. Students examine models used to conceptualize abnormal behavior, as well as current evidence and theories regarding the etiology and treatment of these important and sometimes devastating disorders. Offered each semester. Prerequisite: PSYCH 125.","3","0","1","1","1","HBS;SCS","Blodgett Salafia, Elizabeth H.","{'fsnum': '9005195', 'name': 'Blodgett Salafia, Elizabeth H.'}","200","7","","","","Psychopathology","","247","","False","PSYCH 125.","","4","O","20254","","Research","2025"
"0000171899","1.0","0000001170","PSYCH","Why are people prejudiced and how can we reduce prejudice? Why do people help others? What is self-esteem and how do we defend it? How does romantic attraction develop? What are emotions and how do they influence us? In this introduction to the ways people interact and think about each other, students design their own theories of social behavior. Offered annually. Prerequisite: PSYCH 125.","4","0","2","0","2","HBS;SCS","Benson, Jessica M.","{'fsnum': '30091', 'name': 'Benson, Jessica M.'}","200","15","","","","Social Psychology","","249","","False","PSYCH 125.","","4","O","20254","","Research","2025"
"0000172349","0.25","0000001178","PSYCH","","3","0","2","1","0","OEP","Ausherbauer, Kadie","{'fsnum': '34068', 'name': 'Ausherbauer, Kadie'}","200","0","","","","Academic Internship","","294","","True","","A","4","C","20254","","Research","2025"
"0000173119","1.0","0000001190","PSYCH","Students have the opportunity to work in depth on a research project of interest under the supervision of a member of the psychology department faculty. Offered each semester. Depending on course topic, may count toward the neuroscience concentration. Prerequisite: STAT 110, SDS 172, or ECON 260; PSYCH 230; four additional courses in the department; and permission of instructor. PSYCH 298 is strongly recommended.","1","0","0","0","1","","Benson, Jessica M.","{'fsnum': '30091', 'name': 'Benson, Jessica M.'}","300","0","","","","IR/Advertising & Consumer Behavior","","398","","False","STAT 110, SDS 172, or ECON 260; PSYCH 230; four additional courses in the department; and permission of instructor. PSYCH 298 is strongly recommended.","A","4","C","20254","Independent Research","Research","2025"
"0000171929","1.0","0000036253","REL","How do biblical narratives tell the story of land, water, and creature alongside that of humans and how have Jewish, Christian, and Muslim communities understood and applied these sacred texts? This course introduces eco-critical methods of biblical study to determine the ecological efficacy of the Bible. Students explore historical and contemporary ideological landscapes to analyze how the Bible has impacted variant environmental dispositions and practices. Also counts toward environmental studies major and concentration.","7","3","2","2","0","RFV","Jorgenson, Kiara","{'fsnum': '10957', 'name': 'Jorgenson, Kiara'}","100","24","","","","A Green Bible?","","124","","False","False","","4","O","20254","","Research","2025"
"0000171930","1.0","0000027687","REL","The death of God refers to the absence or non-existence of God in a post-Christian world. What happens after God has exited the scene? Is there only nature, humanity, or nothing at all? Students evaluate the challenges that the death of God has for thinking about God, the meaning and purpose of Jesus in such conditions, as well as religious belief, reason, and the secular by reading classical and contemporary theological work on the death of Jesus and the death of God. Offered periodically.","5","1","0","3","1","BTS-T;CTD","Walter, Gregory A.","{'fsnum': '16642', 'name': 'Walter, Gregory A.'}","200","24","","","","The Death of God","","244","","False","False","","4","O","20254","Theology after the Death of God","Research","2025"
"0000172185","1.0","0000001289","SOAN","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as ""Do we have a 'human nature'?,"" ""Why does social inequality exist?,"" ""What is race?,"" and ""How do societies change?"" In answering these questions students learn to develop a sociological imagination. In doing so they review the various research methods and theories that form the sociological tradition. This course is open to first-year students or students in certain accredited programs. Open to all students when taught during the summer. Offered each semester.","4","0","2","1","1","HBS;MCD;MCS-D;PAR;SCS","Alenuma, Sidonia","{'fsnum': '33074', 'name': 'Alenuma, Sidonia'}","100","6","","","","Intro to Sociology","This course is now asynchronous.","121","","False","False","","4","O","20254","Introduction to Sociology","Research","2025"
"0000172186","1.0","0000001306","SOAN","Students explore the continuing significance of color, class, and immigration in the U.S., with a focus on the experiences and concerns of African Americans, Native Americans, Hispanics/Latinos, and Asian-Americans. The course examines the nature and functions of prejudice; the relationship among race, class and gender; the persistence of racism and inequality; and social policies and social movements intended to create greater social justice. Offered annually in the fall or spring semester.","0","0","0","0","0","HBS;MCD;MCS-D;PAR;SCS","Alenuma, Sidonia","{'fsnum': '33074', 'name': 'Alenuma, Sidonia'}","200","6","","","","Race/Class-Am Culture","This course is now asynchronous.","264","","False","False","","4","X","20254","Race and Class in American Culture","Research","2025"
"0000172268","1.0","0000001325","SPAN","Students continue learning Spanish in an intercultural context. The course continues to examine the Spanish-speaking world through exploration of topics, for example: cities and urban life; housing; and the historical roots of culinary traditions and food production. In-class speaking, listening, reading, and writing activities are complemented by attendance at two required culture tables. Offered each semester and January Term. Does not count toward Spanish major. Prerequisite: SPAN 111 or placement into SPAN 112.","0","0","0","0","0","","Hanson, Marit K.","{'fsnum': '18996', 'name': 'Hanson, Marit K.'}","100","15","","","","Intro Spanish Language/World II","","112","{'day': 'Mo', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'}","False","SPAN 111 or placement into SPAN 112.","","4","X","20254","Introduction to Spanish Language and the Spanish-Speaking World II","Research","2025"
"0000172630","1.0","0000024281","WRIT","This course prepares McNair Scholars for the rigors of academic writing. The enrolled students represent a variety of disciplines, so this course is not meant to replace discipline-specific research methods or writing courses. Students review disciplinary scholarly literature, prepare a formal poster presentation, practice communicating their work to different audiences, explore the historical and social contexts of academic writing, and reflect on their own summer experience. Offered every summer. Prerequisite: successful completion of Writing and Rhetoric.","6","0","0","6","0","OEP;WAC","Porterfield, Jean C.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'}","200","6","","","","McNair Research Writing","Open only to McNair Scholars.                                                   ;Class dates are June 2 - July 23.","237","{'day': 'Tu', 'end': '10:00', 'location': 'RNS 426', 'start': '08:30'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 426', 'start': '08:30'}","False","successful completion of Writing and Rhetoric.","","4","C","20254","McNair Research Writing Across the Disciplines","Research","2025"

